Company Name,Plant name,Address,Contact Details
"Dharani Sugars and Chemicals Ltd. (Unit- 3), Villupuram, Tamil Nadu",Kalayanallur,"Kalayanallur Village, Pallagacherry Post, Sankarapuram Taluk",04151248206
"Shree Ambika Sugars Ltd., Teh. Tittagudi, Tamil Nadu",Ambika,"PO. Pennadam R.S., Teh. Tittagudi","(04143) 222215, 222234,"
"E.I.D. Parry (India) Ltd., Nellikuppam, Tamil Nadu",Nellikuppam,"No. 138, Keelarungunam Road, 
Nellikuppam
Cuddalore District","(04142) 272234, 272239, 272231"
"M.R. Krishnamurthy Co-Op. Sugar Mills Ltd., Sethiathope, Tamil Nadu",Sethiathope,"Sethiathope(Post), Bhuvanagiri (TK) . Cuddalore (Dt)",(04144) 244391-93
"Thiru Arooran Sugars Ltd., PO. Nallur, Tamil Nadu",Thiru Arooran,"At. Chittur, PO. Nallur, Teh. Veppur",9412713967
"The Dharmapuri District Co-Op. Sugar Mills Ltd., Vill.Thimmanahalli, Tamil Nadu",Dharmapuri,"Village Thimmanahalli, PO. Jerthalav, Teh. Palacode",(04348) 222036
"Subramaniya Siva Co-op. Sugar Mills Ltd., PO. Alapuram, Teh. Pappireddipatti, Tamil Nadu",Alapuram,"Gopalapuram, PO. Alapuram, Tal. Pappireddipatti","(04346) 242310, 242150"
"Ponni Sugars (Erode) Ltd., Erode, Tamil Nadu",Ponni,"Odapalli, PO. Cauvery R.S., Erode",(04288) 247351-55
"Sakthi Sugars Ltd., Sakthinagar, Tamil Nadu",Sakthi,"Sakthinagar, Appakudal, Teh. Bhavani","(04256) 246241 to 44, 246341 to 44"
"Sakthi Sugars Ltd., Aval Poondurai, Tamil Nadu",Modakurichi,"Poondurai-Semur Village, Aval Poondurai Via, Modakurichi Tk,Erode.",N.A.
