Company Name,Plant name,Address,Contact Details
"Agasti Sahakari Sakhar Karkhana Ltd., Akole, Maharashtra",Agasti,"Agastinagar, Tal. Akole",(02424) 297126
"Ashok Sahakari Sakhar Karkhana Ltd., Ashoknagar, Maharashtra",Ashoknagar,"Ashoknagar, PO. Karegaon Factory, Tal. Shrirampur","(02422) 246491, 246492"
"Dr. Baburao Bapuji Tanpure Sahakari Sakhar Karkhana Ltd., Rahuri, Maharashtra",Rahuri,"Shri Shivajinagar, A/p. Rahuri Factory, Tal. Rahuri",(02426) 251451
"SahakarMaharshi Bhausaheb Thorat Sahakari Sakhar Karkhana Ltd., Sangamner, Maharashtra",Sangamner,"Amrutnagar, PO. Sangamner Sakhar Karkhana, Tal. Sangamner","(02425) 225399, 225370, 225457, 229200"
"Loknete Marutrao Ghule Patil Dnyaneshwar Sahakari Sakhar Karkhana Ltd., Newasa, Maharashtra",Bhende,"Dnyaneshwarnagar, PO. Bhende Bk., Tal. Newasa",(02427) 255525 to 28
"Pd. Dr.Vitthalrao Vikhe Patil S.S.K. Ltd. (Shree Ganesh Unit), Rahata, Maharashtra",Ganeshnagar,"(Leasse Vitthalrao Vikhe-Patil S.S.K. Ltd., Pravaranagar) Ganeshnagar, PO. Ranjangaon Khurd, Tal. Rahata","(02423) 241261, 62, 64, 65"
"Gangamai Industries and Constructions Ltd., Shevgaon, Maharashtra",Gangamai,"Harinagar, Najik Babhulgaon, PO. Rakshi, Tal. Shevgaon","(02429) 217309, 217251, 55,"
"Shri Ambalika Sugars Pvt. Ltd., Ambikanagar  (Baradgaon sudrik), Maharashtra",Jagdamba,"PO. Jagdamba Factory, Ambikanagar, Tal. Karjat",2489231000
"Jaishriram Sugar and Agro Products Ltd., Jamkhed, Maharashtra",Jaishriram,"Halgaon, Tal. Jamkhed",-
"Karmaveer Shankarrao Kale Sahakari Sakhar Karkhana Ltd. Gautamnagar, Kopargaon, Maharashtra",Kopargaon,"At. Gautamnagar, PO : Kolpewadi, Tal. Kopargaon, Dist. Ahmednagar",(02423) 261210 to 261215
