Company Name,Plant name,Address,Contact Details
"The Chittoor Co-operative Sugars Ltd., Chittoor, Andhra Pradesh",Chittoor,"P.B. No. 42, Chittoor","(08572) 245152, 245204"
"KBD Sugars and Distilleries Ltd., Punganur, Andhra Pradesh",Kumarantham,"Vill. Mudipapanapalli,PO. Sugalimitta,Punganur","(08581) 200648, 200647"
"Natems Sugar Pvt. Ltd., (Prudential), Nindra Mandal, Andhra Pradesh",Nindra,"Vill. & PO. Koppedu, Nindra Mandal",(08576) 271093
"Sudalagunta Sugars Ltd., BN Kandriga Mandal, Andhra Pradesh",Mayura Nagar,"Mayura Nagar, PO. Katur, B.N. Kandriga Mandal","(08578) 277353, (08578) 277028"
"SNJ Sugars and Products Ltd., Puram Mandal, Andhra Pradesh",Nelavoy,"(Formerly Known as Sagar Sugars & Allied Products Ltd.,) Vill. Nelavoy, S.R. Puram Mandal.",(044) 27843157
"Sri Venkateswara Co-op. Sugar Factory Ltd., Renigunta Mandal, Andhra Pradesh",Tirupati,"Gajulamandyam Village, Renigunta Mandal.",(0877) 2275315
"Sri Sarvaraya Sugars Ltd., Rayavaram Mandal, Andhra Pradesh",Chelluru,"Chelluru, Rayavaram Mandal.",(08857) 242701 to 09
"Delta Sugars Ltd., Krishna, Andhra Pradesh",Delta,"Serinarasannapalem (V), Hanuman Junction","(08656) 242182, 242183"
"K.C.P. Sugar And Industries Corporation Ltd. Lakshmipuram, Krishna, Andhra Pradesh",Lakshmipuram,"Lakshmipuram, Challapalli Mandal, Dist. Krishna 521 131.","(08671) 222046, 222426"
"K.C.P. Sugar and Industries Corporation Ltd., Vuyyuru, Andhra Pradesh",Vuyyuru,"Vuyyuru, Dist. Krishna 521 165",(08676) 232001/02
